motivation_required_class,motivation_current_skills,motivation_career_advancement,motivation_career_change,motivation_professional_development,motivation_job_displacement,motivation_relocation,motivation_it_certifications,motivation_financial,motivation_personal_enrichment,motivation_curiosity,prior_participation_open_house,prior_participation_instant_decision,prior_participation_oncampus_session,prior_participation_titans_tuesday,prior_participation_women_dare,prior_participation_regional_fair,extent_school_computing_class,extent_school_computing_club,extent_computing_competitions,extent_afterschool_computing,extent_summer_computing_camp,extent_ap_computing,extent_dual_enrollment,extent_family_friend,extent_family_friend_computing,extent_teacher_counselor,extent_employer,hear_about_ccm_website,hear_about_billboard,hear_about_television,hear_about_radio,hear_about_social_media,hear_about_community_event,hear_about_family_friend,hear_about_employer,hear_about_current_student,hear_about_alumni,hear_about_high_school,new_class_interest,new_class_web_development,new_class_cybersecurity,new_class_app_development,new_class_data_analytics,new_class_machine_learning,new_class_programming,new_class_game_design,new_class_hardware_installation
Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Some Impact,High Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,1,Yes,No,Yes,No,Yes,No,Yes,No
Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Not Sure,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,High Impact,High Impact,No,No,No,No,No,No,Yes,Yes,No,No,No,3,No,Yes,No,Yes,No,No,No,Yes
No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,No,Yes,No,No,1,No,Yes,No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,1,No,No,No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,3,Yes,No,Yes,No,No,No,No,No
Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,1,No,No,No,No,No,No,No,No
No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,Some Impact,Some Impact,High Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,3,No,Yes,No,No,No,No,No,No
Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,No,Yes,2,No,No,No,No,Yes,No,No,No
Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,High Impact,No Impact,High Impact,Yes,No,No,No,Yes,Yes,Yes,No,No,No,Yes,5,Yes,No,No,No,Yes,Yes,No,No
Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,High Impact,High Impact,,,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,5,No,Yes,No,No,Yes,No,Yes,No
Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,1,No,No,No,No,No,No,No,No
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,Some Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,Yes,1,No,No,No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,,,,,,,,,High Impact,No,No,No,No,No,No,Yes,No,No,No,No,3,Yes,No,Yes,Yes,Yes,Yes,No,No
Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,,,,,,,,,,No,No,No,No,No,No,Yes,No,Yes,No,No,3,No,No,No,No,No,No,No,No
Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,No Impact,No Impact,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,3,No,Yes,Yes,No,No,No,Yes,No
Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,High Impact,High Impact,Some Impact,High Impact,No Impact,No Impact,No Impact,High Impact,Some Impact,High Impact,No Impact,No,No,No,No,No,No,Yes,No,No,Yes,No,4,No,No,No,No,Yes,No,Yes,No
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,Yes,No,No,No,1,No,No,No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Not Sure,Yes,No,Not Sure,No,High Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,Yes,No,No,No,No,No,5,No,Yes,No,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,3,No,Yes,Yes,No,No,Yes,Yes,Yes
Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,No,Yes,No,Yes,No,3,No,No,No,No,No,No,No,No
Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,Not Sure,No,Yes,Yes,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,No,Yes,Yes,2,No,No,No,Yes,No,No,No,Yes
No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,No,No,No,No,No,1,No,No,No,No,No,No,No,No
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,,Some Impact,,Some Impact,,,High Impact,High Impact,Some Impact,Some Impact,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,3,No,No,Yes,No,Yes,No,Yes,No
Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,4,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Not Sure,Not Sure,Not Sure,High Impact,No Impact,High Impact,No Impact,No Impact,No Impact,No Impact,High Impact,High Impact,,,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,3,No,Yes,Yes,No,Yes,Yes,Yes,No
Yes,Yes,No,No,Yes,No,No,No,No,No,No,Not Sure,No,No,No,No,No,High Impact,,,,,High Impact,,Some Impact,,,,No,Yes,No,No,No,No,Yes,No,No,No,Yes,2,Yes,Yes,Yes,Yes,No,Yes,No,No
Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,Some Impact,No Impact,No Impact,Some Impact,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,3,Yes,Yes,Yes,Yes,Yes,Yes,No,No
Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,No,No,Yes,No,No,1,No,No,No,No,No,No,No,No
Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,1,No,No,No,No,No,No,No,No
Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,No Impact,,,,,,,,,,Yes,No,No,No,No,No,Yes,No,No,No,No,2,No,No,No,No,No,No,No,No
No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,No,No,No,No,No,Yes,No,Yes,No,No,3,No,Yes,No,Yes,Yes,No,Yes,Yes
Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,No Impact,High Impact,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,2,No,Yes,No,Yes,Yes,No,No,Yes
Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,3,No,No,Yes,No,No,No,Yes,No
No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,High Impact,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,Yes,Yes,3,No,No,No,Yes,No,Yes,No,Yes
Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,No,Yes,No,No,No,Yes,3,No,Yes,Yes,No,Yes,Yes,Yes,No
Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,High Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,No Impact,High Impact,Some Impact,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,2,Yes,No,No,No,No,No,No,No
Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,2,No,No,No,No,No,No,No,No
Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,1,No,No,No,No,No,No,No,No
Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Some Impact,,,,,,,,,,,No,No,No,No,No,No,Yes,No,Yes,Yes,No,1,No,No,No,No,No,No,No,No
Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,,,,,,,,,Some Impact,No Impact,Yes,No,No,No,Yes,No,No,No,Yes,No,Yes,3,Yes,Yes,No,No,Yes,No,No,Yes
Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,2,No,No,No,No,No,No,Yes,No
Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,3,No,No,No,No,No,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,3,Yes,No,No,No,No,No,No,Yes
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Some Impact,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,3,No,No,No,No,No,No,No,Yes
Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,Yes,3,No,Yes,No,No,No,No,No,No
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,4,Yes,Yes,Yes,No,Yes,No,No,No
Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,Yes,No,No,No,No,No,No,2,No,No,No,No,No,No,No,No
Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,No,No,No,No,Yes,2,No,No,No,No,No,No,No,No
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Some Impact,Some Impact,Some Impact,No Impact,Some Impact,Some Impact,Some Impact,No Impact,No Impact,No Impact,High Impact,No,No,No,No,No,No,Yes,No,No,No,Yes,3,No,Yes,No,No,No,No,Yes,Yes
Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1,No,No,No,No,No,No,No,No
Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No Impact,,No Impact,No Impact,No Impact,No Impact,No Impact,,No Impact,,No Impact,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,1,No,No,No,No,No,No,No,No
Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,,,,,,,,,,,,Yes,No,No,No,No,No,No,No,No,No,No,3,No,Yes,No,Yes,Yes,No,No,No
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,,,,,,,,,,,,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,5,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Some Impact,Some Impact,No Impact,No Impact,Some Impact,Some Impact,High Impact,Some Impact,Some Impact,High Impact,No Impact,No,No,No,No,No,No,Yes,No,No,No,No,3,No,Yes,No,No,No,Yes,Yes,No
Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No Impact,Some Impact,No Impact,No Impact,No Impact,No Impact,No Impact,Some Impact,Some Impact,Some Impact,Some Impact,No,No,No,No,No,No,Yes,No,Yes,Yes,No,3,Yes,Yes,Yes,No,No,No,No,No
